episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
580,1.0,3.199955198363719,0.6829565044790887,0.1494189633147787,-30.0,4.0,[-30.0 4.0],0.0,False,True,0.7918045747260966,1,17.709159380834848,2576.175,prepare,0.0,0
580,2.0,3.199732793847836,0.6831032114197838,0.18326595495146542,-30.0,2.8468508812255564,[-30.0 2.8468508812255564],2.4257280584643914,False,True,0.7905513581379281,1,17.709159380834848,2576.235,in_progress,0.0,0
580,3.0,3.210344823857704,0.6830749865215262,0.2048841116574807,-6.426631669759807,1.323712383259262,[-6.426631669759807 1.323712383259262],2.23533936812752,False,True,0.8504750829442934,1,17.709159380834848,2576.309,in_progress,0.0,0
580,4.0,3.232870634296961,0.6762472252739865,-1.2261325799522365,9.466798372193722,2.6377858816988873,[9.466798372193722 2.6377858816988873],2.4485888903199244,False,True,0.9776145361553175,1,17.709159380834848,2576.375,in_progress,0.0,0
580,5.0,3.275814821671629,0.6725405403849452,-1.7577137451587548,21.86130811159871,4.0,[21.86130811159871 4.0],2.7800799458217464,False,True,1.2200792398998612,1,17.709159380834848,2576.447,in_progress,0.0,0
580,6.0,3.3323855284858976,0.6758750189485315,-0.6323704295349721,0.5327119817923105,1.9189486790274488,[0.5327119817923105 1.9189486790274488],2.2806318924902755,False,True,1.5395509070081546,2,17.709159380834848,2576.516,in_progress,0.0,0
580,7.0,3.404772725307527,0.6755071272386654,-0.5936111971883268,7.4719836667387725,3.3244511076579504,[7.4719836667387725 3.3244511076579504],2.5935644894231675,False,True,1.9483599209890352,2,17.709159380834848,2576.577,in_progress,0.0,0
580,8.0,3.4800858898965905,0.6680176343895083,-2.0481277656639594,30.0,1.4537391648364881,[30.0 1.4537391648364881],2.2276862570860305,False,True,2.3736272177408333,3,17.709159380834848,2576.653,in_progress,0.0,0
580,9.0,3.584714623290614,0.6665556169432904,-1.530572068747846,7.995373244130825,2.497650083695504,[7.995373244130825 2.497650083695504],2.354713464040224,False,True,2.964428621869945,4,17.709159380834848,2576.709,in_progress,0.0,0
580,10.0,3.6706521486449497,0.6727333978757005,0.19399506048588946,-6.491791832354544,1.878771059089364,[-6.491791832354544 1.878771059089364],2.3229429534002737,False,True,3.449715335487416,4,17.709159380834848,2576.777,in_progress,0.0,0
580,11.0,3.778662836365179,0.6663312400499669,-1.3569081036452235,16.706604068635272,2.8610714083857456,[16.706604068635272 2.8610714083857456],2.431418258110165,False,True,4.059616038401092,5,17.709159380834848,2576.84,in_progress,0.0,0
580,12.0,3.897070431213094,0.6559930420393734,-2.817441529921107,8.547320144195268,2.2388169642965683,[8.547320144195268 2.2388169642965683],2.154103151750485,False,True,4.728221663792138,6,17.709159380834848,2576.91,in_progress,0.0,0
580,13.0,4.029822250031039,0.6614267764118041,-0.40371543942740223,-13.725368893483719,3.8086548227198636,[-13.725368893483719 3.8086548227198636],2.648648989000529,False,True,5.477854703537749,6,17.709159380834848,2576.967,in_progress,0.0,0
580,14.0,4.142739992032557,0.6672948718427808,0.9257469210343543,13.042353667458656,1.218178996415101,[13.042353667458656 1.218178996415101],2.280400835634596,False,True,6.115488987469191,7,17.709159380834848,2577.043,in_progress,0.0,0
580,15.0,4.302254923402825,0.6779595106398021,2.2581600776859014,-5.576514166772977,1.0,[-5.576514166772977 1.0],2.2909638702079986,False,True,7.016258226032044,8,17.709159380834848,2577.108,in_progress,0.0,0
580,16.0,4.404417792466221,0.683898722495709,2.791790192905561,-30.0,1.1119808553636539,[-30.0 1.1119808553636539],2.2918713863433666,False,True,7.593163069259077,9,17.709159380834848,2577.181,in_progress,0.0,0
580,17.0,4.518025074085221,0.6797036122697838,0.7373826882597017,-30.0,1.163867801234754,[-30.0 1.163867801234754],2.1807684772166076,False,True,8.234671677706418,10,17.709159380834848,2577.246,in_progress,0.0,0
580,18.0,4.60295147851873,0.6682896798868223,-1.9847599465549477,26.02329113050242,1.0,[26.02329113050242 1.0],2.0004293486976588,False,True,8.714209712795187,10,17.709159380834848,2577.309,in_progress,0.0,0
580,19.0,4.681650463842238,0.6577407755932112,-3.7597482309259957,30.0,1.0,[30.0 1.0],1.8347577703496698,False,True,9.158584857945577,11,17.709159380834848,2577.371,in_progress,0.0,0
580,20.0,4.757150497556356,0.6539143413126527,-3.534808831286222,25.40727452737827,2.768565764541525,[25.40727452737827 2.768565764541525],1.9711912126602278,False,True,9.584907238111809,11,17.709159380834848,2577.442,in_progress,0.0,0
580,21.0,4.844151449015228,0.659832858790061,-1.031307597474718,30.0,1.7335508519873102,[30.0 1.7335508519873102],1.8868863808042375,False,True,10.076196631485619,12,17.709159380834848,2577.511,in_progress,0.0,0
580,22.0,4.932897617764778,0.6836112786084605,4.518071706975684,-2.448911823421568,1.6986700669504362,[-2.448911823421568 1.6986700669504362],2.1480208030896337,False,True,10.577379696121264,13,17.709159380834848,2577.57,in_progress,0.0,0
580,23.0,5.0231064675760715,0.7091098362994794,8.53906963421923,13.084787870647027,1.0,[13.084787870647027 1.0],2.0565199226521114,False,True,11.086821378871901,13,17.709159380834848,2577.641,in_progress,0.0,0
580,24.0,5.123062894839849,0.7384895622716284,11.65305013915811,-30.0,1.0,[-30.0 1.0],2.0053128548921193,False,True,11.651313290930156,14,17.709159380834848,2577.708,in_progress,0.0,0
580,25.0,5.192869979450813,0.762718632980281,13.870701432486024,-18.19794504092368,2.386676496930274,[-18.19794504092368 2.386676496930274],1.9186122760653919,False,True,12.045525421018711,14,17.709159380834848,2577.783,in_progress,0.0,0
580,26.0,5.292810907669285,0.7849514903325421,13.283712939526955,-0.525465521275283,1.0,[-0.525465521275283 1.0],1.8400582711300417,False,True,12.609909282619086,15,17.709159380834848,2577.852,in_progress,0.0,0
580,27.0,5.390113221308307,0.7966923844120107,10.859855163791032,-20.361895981631942,1.7436392230472526,[-20.361895981631942 1.7436392230472526],1.9433992079202802,False,True,13.159468868266085,16,17.709159380834848,2577.913,in_progress,0.0,0
580,28.0,5.475236007720987,0.8039269924357219,8.846260091432683,15.077000553382149,1.67419801371279,[15.077000553382149 1.67419801371279],2.03975320815042,False,True,13.640845471553813,16,17.709159380834848,2577.977,in_progress,0.0,0
580,29.0,5.566780367235236,0.8086076193778465,6.788911550068463,-30.0,1.5958053367570466,[-30.0 1.5958053367570466],2.027920778172068,False,True,14.157815904636346,17,17.709159380834848,2578.04,in_progress,0.0,0
580,30.0,5.676622817787936,0.8133113458859846,4.994689098904092,-30.0,1.0,[-30.0 1.0],1.8801975079937148,False,True,14.776809457929508,17,17.709159380834848,2578.116,in_progress,0.0,0
580,31.0,5.768975807214959,0.8059979575359961,1.6808034192815235,-30.0,1.0,[-30.0 1.0],1.5915799006132614,False,True,15.295367388013602,18,17.709159380834848,2578.176,in_progress,0.0,0
580,32.0,5.847534454669658,0.7919097440714117,-2.028628237877624,30.0,1.0,[30.0 1.0],1.3747789520684053,False,True,15.73933487137692,19,17.709159380834848,2578.244,in_progress,0.0,0
580,33.0,5.925411953756427,0.7743560767231566,-5.316699986982706,24.419954067482372,1.0,[24.419954067482372 1.0],1.0385071742807828,False,True,16.17762419690909,19,17.709159380834848,2578.309,in_progress,0.0,0
580,34.0,6.003823378179358,0.7710321731478252,-4.4332383227363374,13.420625197966451,1.7194867134315936,[13.420625197966451 1.7194867134315936],1.1269491833018916,False,True,16.620539003841095,20,17.709159380834848,2578.375,in_progress,0.0,0
580,35.0,6.086122468897264,0.7821673511783974,-0.4811928350136422,21.990981676083756,3.671240528013644,[21.990981676083756 3.671240528013644],1.541713600415614,False,True,17.10380236902233,20,17.709159380834848,2578.445,in_progress,0.0,0
580,36.0,6.18884935277416,0.8087080515904363,5.459545493719156,16.724437360239605,1.7807273712874299,[16.724437360239605 1.7807273712874299],1.280037658075253,False,True,17.687522681957212,21,17.709159380834848,2578.516,in_progress,0.0,0
580,37.0,6.279647557747713,0.8502111471415715,12.570700736791421,12.976145808422551,1.0,[12.976145808422551 1.0],1.3155228764069038,False,True,18.257529997165488,22,17.709159380834848,2578.592,in_progress,0.0,0
580,38.0,6.375095452657475,0.9125421584512183,21.147420390174098,-30.0,1.0,[-30.0 1.0],1.5918768988633902,False,True,18.88694793854309,22,17.709159380834848,2578.645,in_progress,0.0,0
580,39.0,6.439294311146977,0.9544352845071842,24.671085742648152,20.985850446302194,1.9597640370608933,[20.985850446302194 1.9597640370608933],2.0704776559740625,False,True,19.278162264627934,23,17.709159380834848,2578.711,in_progress,0.0,0
580,40.0,6.512726111144648,0.9988361569619437,26.946639532333684,19.59127487581393,1.0,[19.59127487581393 1.0],1.7515391684084562,False,True,20.029160017151657,24,17.709159380834848,2578.783,in_progress,0.0,0
580,41.0,6.582200264433836,1.0594376676754267,31.888671856807655,27.996007813201842,1.0,[27.996007813201842 1.0],1.8446797883674646,False,True,20.792207645624185,25,17.709159380834848,2578.847,in_progress,0.0,0
580,42.0,6.632765346229861,1.118074079397445,37.10394826293007,-6.95355402465913,1.0,[-6.95355402465913 1.0],0.0,False,False,21.368402384744385,25,17.709159380834848,2578.909,in_progress,0.0,0
580,43.0,6.685714792251492,1.1800884482514509,40.92782637668969,25.09449227082898,1.0,[25.09449227082898 1.0],0.0,False,False,21.8131776120766,26,17.709159380834848,2578.983,in_progress,0.0,0
580,44.0,6.738382982928921,1.233087890806101,42.16326129319144,-2.0724870649449407,1.516637016479688,[-2.0724870649449407 1.516637016479688],0.0,False,False,22.469983560471583,27,17.709159380834848,2579.045,in_progress,0.0,0
580,45.0,6.788933250986518,1.2830166507691159,42.76390943268652,30.0,1.0,[30.0 1.0],0.0,False,False,23.253567738072064,27,17.709159380834848,2579.11,in_progress,0.0,0
580,46.0,6.8440707882489376,1.340617599358421,43.79706972550407,10.637371562398592,1.0,[10.637371562398592 1.0],0.0,False,False,23.94209455530103,28,17.709159380834848,2579.178,in_progress,0.0,0
580,47.0,6.89201939193671,1.4082592980508446,47.25071046387395,-3.053083640654993,1.7206557487268614,[-3.053083640654993 1.7206557487268614],0.0,False,False,24.40747108805731,29,17.709159380834848,2579.247,in_progress,0.0,0
580,48.0,6.942240492449195,1.4743245454240475,48.86474472303794,24.721657407511806,1.0,[24.721657407511806 1.0],0.0,False,False,25.061226429946526,30,17.709159380834848,2579.304,in_progress,0.0,0
580,49.0,6.987133137288852,1.5317529788168027,49.563458520297885,19.679575327059958,2.9907767928739224,[19.679575327059958 2.9907767928739224],0.0,False,False,25.634327910436117,30,17.709159380834848,2579.374,in_progress,0.0,0
580,50.0,7.0351884241198634,1.6037480021362787,51.77777575706505,30.0,1.5246983397801666,[30.0 1.5246983397801666],0.0,False,False,26.099305139257602,31,17.709159380834848,2579.446,in_progress,0.0,0
580,51.0,7.073752879461909,1.7073244861668144,58.91897536729039,30.0,1.0,[30.0 1.0],0.8663794326386779,False,True,26.969594084016336,32,17.709159380834848,2579.512,in_progress,0.0,0
580,52.0,7.091063680004493,1.794750557830716,66.34317212398888,30.0,4.0,[30.0 4.0],1.7291974883880956,False,True,27.679571150746142,33,17.709159380834848,2579.578,in_progress,0.0,0
580,53.0,7.101270256128952,1.8917415034802494,72.99103710307139,26.911971490321868,4.0,[26.911971490321868 4.0],1.7291974883880956,False,True,28.29867140785672,33,17.709159380834848,2579.642,in_progress,0.0,0
580,54.0,7.089988929195162,2.0081818667388784,83.09527917881873,25.133578006788333,4.0,[25.133578006788333 4.0],1.7264073629108383,False,True,29.04908120376753,34,17.709159380834848,2579.711,in_progress,0.0,0
580,55.0,7.058575632364359,2.1251008407633356,94.33909838048754,30.0,2.2206975004961804,[30.0 2.2206975004961804],1.231530675211816,False,True,29.84196093876553,35,17.709159380834848,2579.78,in_progress,0.0,0
580,56.0,7.000011504142476,2.248030519665826,108.52923608980797,30.0,4.0,[30.0 4.0],2.100607262839217,False,True,30.71771483076781,36,17.709159380834848,2579.844,in_progress,0.0,0
580,57.0,6.930034439197566,2.362472264332381,122.01458558340241,30.0,1.0,[30.0 1.0],1.1349585370014175,False,True,31.5454274293494,37,17.709159380834848,2579.901,in_progress,0.0,0
580,58.0,6.863144690581506,2.4483419720734707,135.51821587137306,30.0,1.2675641663166868,[30.0 1.2675641663166868],1.4228994342391086,False,True,32.15555660798118,38,17.709159380834848,2579.96,in_progress,0.0,0
580,59.0,6.802188305164128,2.5182706777234234,147.2719127057154,13.979442209677238,4.0,[13.979442209677238 4.0],2.7868584124335154,False,True,32.730964461370995,39,17.709159380834848,2580.044,in_progress,0.0,0
580,60.0,6.717902116111133,2.5911029873348066,160.67864433062917,29.88128432329863,1.0,[29.88128432329863 1.0],1.1245724214510702,False,True,33.406526652066674,39,17.709159380834848,2580.099,in_progress,0.0,0
580,61.0,6.64457290955061,2.633376231649403,172.73593609259714,20.54457463898349,1.8152319401250305,[20.54457463898349 1.8152319401250305],1.042930769553082,False,True,33.92700726734045,40,17.709159380834848,2580.176,in_progress,0.0,0
580,62.0,6.550796089797541,2.672874603388112,-173.14024191636008,16.873539868354463,1.0,[16.873539868354463 1.0],0.7169385796545105,False,True,34.5010462120439,41,17.709159380834848,2580.243,in_progress,0.0,0
580,63.0,6.4783762956584,2.690095563407975,-162.24515432661997,-30.0,1.0,[-30.0 1.0],0.7,False,True,34.96232506238422,41,17.709159380834848,2580.312,in_progress,0.0,0
580,64.0,6.406632088517061,2.697322125024712,-149.95165570065444,-15.931457459183191,1.0,[-15.931457459183191 1.0],0.7,False,True,35.36737457708478,42,17.709159380834848,2580.375,in_progress,0.0,0
